question_id,question,reponse,autres
1,Quel est l’auteur du livre à l’origine de Total Recall (1990) ?,Philip K Dick,'["Arthur C. Clarke", "Isaac Asimov", "K. W. Jeter"]'
2,Quel est l’auteur du livre à l’origine de Blade Runner (1982) ?,Philip K Dick,'["Ray Bradbury", "Frank Herbert", "Aldous Huxley"]'
3,Quel est l’auteur du livre à l’origine de Minority Report (2002) ?,Philip K Dick,'["George Orwell", "Michael Crichton", "Robert A. Heinlein"]'
4,Quel est l’auteur du livre à l’origine de L’Agence (2011) ?,Philip K Dick,'["Stephen King", "Dan Brown", "John Grisham"]'
5,Quel est l’auteur du livre à l’origine de Confessions d’un Barjo (1992) ?,Philip K Dick,'["Boris Vian", "Charles Bukowski", "Jack Kerouac"]'
6,Quel est l’auteur du livre à l’origine de Planète hurlante (1995) ?,Philip K Dick,'["H.G. Wells", "Ray Bradbury", "Isaac Asimov"]'
7,'Quel est le nom du voisin de Charley Brewster dans le film Vampire, vous avez dit vampire ?',Jerry Dandrige,'["David Vincent", "Max Schreck", "Ed Thompson"]'
8,'Dans Dracula, où est interné le personnage de Renfield ?',L’asile du Dr. Seward,'["L’asile d’Arkham", "L’asile de Carfax", "L’asile du Dr Clemens"]'
9,'Dans Låt den rätte komma in, comment Eli communique-t-il avec Oskar ?',par code morse sur le mur,'["par télépathie", "sur le givre de la fenêtre", "des mots glissés sous la porte"]'
10,'Quelle ville envahie par des vampires est issue d’un roman de Stephen King adapté plusieurs fois à l’écran ?',Salem,'["Simetierre", "Mystic Falls", "Forks"]'
11,Dans quel film Will Smith incarne-t-il le dernier homme vivant dans un monde envahi par des vampires ?,Je suis une légende,'["Blade", "Hancock", "28 jours plus tard"]'
12,Quelle nouvelle de vampire d’Alexis Tolstoï a été adaptée au cinéma par Adrien Beau en 2023 ?,Le Vourdalak,'["Carmilla", "Ælita", "Prince Serebrenni"]'
13,'Dans Le Bal des Vampires, comment le professeur Abronsius et Alfred tentent-ils d’échapper aux vampires',En se déguisant en vampires,'["En se cachant dans des cerceuils", "En se déguisant en moines", "En se cachant dans des paniers"]'
14,'Dans le film Entretien avec un vampire, le journaliste qui interviewe Louis est interprété par :',Christian Slater,'["Keanu Reeves", "River Phoenix", "Johnny Depp"]'
15,Quel acteur interprète le capitaine Frank Ramsey dans le film USS Alabama (Crimson Tide) ?,Gene Hackman,'["Harrison Ford", "Sean Connery", "Kevin Costner"]'
16,'Dans quel film Sean Connery incarne-t-il le commandant du sous-marin soviétique porteur de l''arme nucléaire ?',À la poursuite d’Octobre Rouge,'["Kursk", "K-19 : The Widowmaker", "72 mètres"]'
17,'Comment s'appelle le sous marin dans le film adapté de l'oeuvre de Jules Vernes 20 000 lieus sous les mers',Nautilus,'["Octopus", "Steam-House", "Nemo"]'
18,'Quel film met en scène un contact avec une intelligence extraterrestre vivant dans les profondeurs océaniques ?',Abyss,'["Contact", "Sphere", "Underwater"]'
19,'Quel film suit l’équipage d’un sous-marin allemand durant la Seconde Guerre mondiale dans un huis clos oppressant ?',Das Boot,'["La dernière torpille", "U-235", "U-571"]'
20,'Dans Les Goonies (1985), à quel pirate légendaire appartient le trésor recherché par les enfants ?',Willy le Borgne,'["Jack Jambe de Bois", "Capitaine Crochet", "Bill l’Édenté"]'
21,'Dans Indiana Jones et la Dernière Croisade (1989), quel trésor cherchent les Jones ?',Le Graal,'["La pierre philosophale", "Des perles en Orichalque", "Excalibur"]'
22,'En 1985, quel trésor Richard Chamberlain alias Allan Quatermain recherche-t-il',Les mines du roi Salomon,'["Le diamant du Nil", "L’or de Thulamela", "La couronne de la reine de Saba"]'
23,'Dans Le Ruffian (1983), quel trésor Aldo tente-t-il de retrouver dans le Grand Nord canadien',Un chargement de pépites d’or,'["Des lingots de platine", "Un sac contenant 10 millions de dollars", "Une améthyste au pouvoir surnaturel"]'
24,Dans quel Western les personnages partent-ils à la recherche d’une cache d’or enterrée dans un cimetière pendant la guerre de Sécession ?,'Le Bon, la Brute et le Truand','["Le trésor du pendu", "Tombstone", "Le trésor de Pancho Villa"]'
25,Quelle est la planète sur laquelle les humains découvre pour la première fois les œufs des créatures ?,LV-426,'["Oberon", "Zeta Reticuli IV", "EM 474"]'
26,Comment s’appelle l’ordinateur de bord du vaisseau spatial dans le film Alien (1979) ?,MU/TH/UR (Maman),'["HAL 9000", "WOPR", "Samantha"]'
27,Quel est le nom du vaisseau spatial dans lequel se déroule le film Alien (1979) ?,Nostromo,'["Sulaco", "Enterprise", "Odysseus"]'
28,'À quelle compagnie appartient le station dans le film Aliens (1986) ?',Weyland-Yutani,'["Tyrell Corporation", "Cyberdyne Systems", "OCP Omni Comsumer Products"]'
29,'Comment s’appelle la colonie humaine installée sur la planète dans le film Aliens (1986)',Hadley’s Hope,'["New Eden", "Acheron Base", "Gateway Station"]'
30,'Dans Aliens (1986), quel est le nom du synthétique qui accompagne les Marines coloniaux ?',Bishop,'["David", "Ash", "Man-U"]'
31,À quel peuple appartient Willow Ufgood ?,Les Nelwyn,'["Les Ewoks", "Les Hobbits", "Les Dryads"]'
32,Quel mercenaire guerrier accompagne Willow dans sa quête et devient un allié majeur ?,Madmartigan,'["Mickael Kael", "Airk Thaughbaer", "Franjean"]'
